------#25234, Kara#125323355, Stark#215135, Nigel#254252, Mistery#232356452, Abu#231412452, TT#23456432, Laos#23454362, Bonk#2313452, Thumb#23341452, BOIS#23325452, Rockeet#2325233452,
1, 5, 2, 7, 4, 3, 8, 10, 6, 9, 11, 12,
2, 1, 6, 7, 11, 3, 9, 12, 4, 8, 5, 10,
5, 6, 10, 1, 4, 2, 8, 3, 7, 9, 11, 12,
3, 5, 7, 2, 6, 1, 4, 9, 10, 8, 12, 11,
1, 5, 2, 7, 4, 3, 8, 10, 6, 9, 11, 12,
2, 1, 6, 7, 11, 3, 9, 12, 4, 8, 5, 10,
5, 6, 10, 1, 4, 2, 8, 3, 7, 9, 11, 12,
3, 5, 7, 2, 6, 1, 4, 9, 10, 8, 12, 11,
1, 5, 2, 7, 4, 3, 8, 10, 6, 9, 11, 12,
2, 1, 6, 7, 11, 3, 9, 12, 4, 8, 5, 10,
5, 6, 10, 1, 4, 2, 8, 3, 7, 9, 11, 12,
3, 5, 7, 2, 6, 1, 4, 9, 10, 8, 12, 11,
